Jurisdiction,Number
ALABAMA,107640
ALASKA,23174
AMERICAN SAMOA,228
ARIZONA,127854
ARKANSAS,62992
CALIFORNIA-RN,592136
CALIFORNIA-VN,115536
COLORADO,96783
CONNECTICUT,94572
DELAWARE,22452
DISTRICT OF COLUMBIA,51998
FLORIDA,449830
GEORGIA,177678
GUAM,1346
HAWAII,36317
IDAHO,31953
ILLINOIS,279849
INDIANA,148884
IOWA,67339
KANSAS,62456
KENTUCKY,90296
LOUISIANA-PN,22331
LOUISIANA-RN,68210
MAINE,30246
MARYLAND,101876
MASSACHUSETTS,191402
MICHIGAN,201569
MINNESOTA,156221
MISSISSIPPI,67068
MISSOURI,142520
MONTANA,29329
NEBRASKA,37775
NEVADA,67519
NEW HAMPSHIRE,30830
NEW JERSEY,176768
NEW MEXICO,37070
NEW YORK,610499
NORTH CAROLINA,187871
NORTH DAKOTA,19284
NORTHERN MARIANA ISLANDS,3904
OHIO,281075
OKLAHOMA,72315
OREGON,97803
PENNSYLVANIA,287682
RHODE ISLAND,24511
SOUTH CAROLINA,102891
SOUTH DAKOTA,23070
TENNESSEE,147169
TEXAS,527659
UTAH,49523
VERMONT,13536
VIRGIN ISLANDS,1164
VIRGINIA,149059
WASHINGTON,116994
WEST VIRGINIA-PN,7442
WEST VIRGINIA-RN,35938
WISCONSIN,132601
WYOMING,9628
